,title,text,time,image,country,3let,countrycode
38, ΣΥΡΙΖΑ: Ζητά αναλυτική ενημέρωση για τις διερευνητικές στην Κωνσταντινούπολη ,"Η αξιωματική αντιπολίτευση με ανακοίνωσή της ""στηρίζει τις διερευνητικές επαφές με την Τουρκία"", αλλά ζητά αναλυτική ενημέρωση για τη στρατηγική που θα ακολουθήσει η Ελλάδα. ""Τέθηκαν θέματα δήθεν γκρίζων ζωνών και αποστρατιωτικοποίησης;""",2021-01-25 19:28:00,https://www.news247.gr/img/1049/9122656/373000/w140/140/mitsotakis250121.jpg,ελλάδα,,GR
39, Πετρέλαιο θέρμανσης: Σε ΦΕΚ η απόφαση - Πόσα παίρνουν οι δικαιούχοι ,"Αναλυτικά τι αναφέρει η απόφαση για το πετρέλαιο θέρμανσης, η οποία εκδόθηκε σε ΦΕΚ. ",2021-01-25 19:17:00,https://www.news247.gr/img/5767/7550684/321000/w140/140/petrelaio-thermansis.jpg,ελλάδα,,GR
40, Κυριακίδου: Αυστηρό μήνυμα στην AstraZeneca και μηχανισμός ελέγχου για τις εξαγωγές εμβολίων ,Αυστηρή προειδοποίηση προς την AstraZeneca για παράδοση των συμπεφωνημένων δόσεων στην ώρα τους απηύθυνε η Επίτροπος Υγείας,2021-01-25 19:12:00,https://www.news247.gr/img/1655/9122686/498000/w140/140/kyriakides.jpg,ελλάδα,,GR
41," Συνελήφθη με ένταλμα, μέλος σπείρας με πλήθος ανατινάξεων ΑΤΜ ","Εξιχνιάσθηκαν 12 περιπτώσεις διαρρήξεων και απόπειρας διαρρήξεων ΑΤΜ, με την μέθοδο «PLOFKRAAK», 8 κλοπές Ι.Χ. αυτοκινήτων και τρεις κλοπές πινακίδων κυκλοφορίας",2021-01-25 19:09:00,https://www.news247.gr/img/6735/7638455/697000/w140/140/covid.jpg,ελλάδα,,GR
42, Μητσοτάκης: Η αγορά των Rafale αντανακλά το δόγμα της εθνικής μας στρατηγικής ,"""Η προμήθεια των 18 Rafale αντανακλά το δόγμα στρατηγικής μας"" δήλωσε ο πρωθυπουργός κατά τη συνάντησή του με την Φλοράνς Παρλί, ενώ ξεκαθάρισε πως ""συζητάμε μόνο οριοθέτηση θαλάσσιων ζωνών"".",2021-01-25 18:50:00,https://www.news247.gr/img/4879/9047439/188000/w140/140/syriza.jpg,ελλάδα,,GR
43, Sputnik V: Έτοιμη για την παραγωγή εκατομμυρίων δόσεων τουρκική εταιρεία ,"Η ολοκλήρωση της διαδικασίας διαβίβασης τεχνολογιών μεταξύ Ρωσίας και Τουρκίας θα ανάψει το ""πράσινο"" φως για την φαρμακευτική εταιρεία που εμφανίζεται έτοιμη για την παραγωγή του ρωσικού εμβολίου.",2021-01-25 18:44:00,https://www.news247.gr/img/6843/9077147/004000/w140/140/emvolio1101220.jpg,ελλάδα,,GR
44, Πούτιν: Παράνομες και επικίνδυνες οι διαμαρτυρίες για τον Ναβάλνι ,"Ο Βλάντιμιρ Πούτιν σε διαδικτυακή ομιλία που είχε με φοιτητές πανεπιστημίου, κάνοντας λόγο για ""τρομοκράτες που βάζουν μπροστά γυναίκες και παιδιά"".",2021-01-25 18:26:00,https://www.news247.gr/img/2081/9120734/916000/w140/140/russia2.jpg,ελλάδα,,GR
45, ΣΥΡΙΖΑ: Πλαστή η εικόνα της κυβέρνησης περί διαχείρισης της πανδημίας ,Ανακοίνωση του ΣΥΡΙΖΑ αναφέρεται στα κρούσματα στα γηροκομεία Βόλου και Αμαρουσίου και κατηγορεί της κυβέρνηση οτι παρουσιάζει πλαστή εικόνα ότι η πανδημία είναι υπό έλεγχο.,2021-01-25 18:16:00,https://www.news247.gr/img/1974/9107326/537000/w140/140/5216274.jpg,ελλάδα,,GR
46, Κορονοϊός: Eνημέρωση για το σχέδιο εμβολιασμών από Θεοδωρίδου και Θεμιστοκλέους - LIVE EIKONA ,Παρακολουθείστε ζωντανά την ενημέρωση των συντακτών Υγείας από την πρόεδρο της Εθνικής Επιτροπής Εμβολιασμών και τον ΓΓ Πρωτοβάθμιας Φροντίδας Υγείας,2021-01-25 18:02:00,https://www.news247.gr/img/5436/9122605/319000/w140/140/mitsotakis_embolia.jpg,ελλάδα,,GR
47," Μητσοτάκης: Κανονικότητα στις αρχές καλοκαιριού, αν όλα πάνε καλά με τα εμβόλια ","Αν τηρηθούν τα χρονοδιαγράμματα στις παραδόσεις εμβολίων, θα επιστρέψουμε σε μια κάποια κανονικότητα τέλη άνοιξης με αρχές καλοκαιριού, είπε ο πρωθυπουργός στο World Economic Forum. ",2021-01-25 18:00:00,https://www.news247.gr/img/3350/9122559/377000/w140/140/panagiotopoulos.jpg,ελλάδα,,GR
